,ski_resort,address,city,state,zipcode,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,Url,beginner_runs,intermediate_runs,advanced_runs,expert_runs,epic,mountain_collective,ikon,indy,dec_mean_2_guests,dec_min_2_guests,dec_max_2_guests,jan_mean_2_guests,jan_min_2_guests,jan_max_2_guests,feb_mean_2_guests,feb_min_2_guests,feb_max_2_guests,mar_mean_2_guests,mar_min_2_guests,mar_max_2_guests,apr_mean_2_guests,apr_min_2_guests,apr_max_2_guests,may_mean_2_guests,may_min_2_guests,may_max_2_guests,dec_mean_4_guests,dec_min_4_guests,dec_max_4_guests,jan_mean_4_guests,jan_min_4_guests,jan_max_4_guests,feb_mean_4_guests,feb_min_4_guests,feb_max_4_guests,mar_mean_4_guests,mar_min_4_guests,mar_max_4_guests,apr_mean_4_guests,apr_min_4_guests,apr_max_4_guests,may_mean_4_guests,may_min_4_guests,may_max_4_guests,full_address,latitude,longitude,total_lifts
159,Mt. Holly,13536 South Dixie Highway,Holly,Michigan,48442,1105,350,755,0.0,1.0,0.0,2.0,3.0,1.0,6.0,100,0.1,0,42,November 22 2023,March 17 2024,0.3,8.0,8.0,15.0,7.0,0.0,296,626,800,728,37,45,49,39,29,55,https://www.onthesnow.com/Michigan/mount-holly/ski-resort.html,0,0,0,0,0,0,0,0,167.38235294117646,45.0,371.0,168.42857142857142,45.0,378.0,163.34285714285716,45.0,312.0,174.54285714285714,45.0,345.0,170.77142857142857,45.0,373.0,136.92857142857142,44.0,250.0,220.87878787878788,100.0,414.0,232.29411764705884,100.0,422.0,225.94117647058826,100.0,399.0,223.5142857142857,100.0,399.0,245.5142857142857,100.0,500.0,192.54166669999998,89.0,349.0,"13536 South Dixie Highway, Holly, Michigan",42.830673499999996,-83.56151849999998,13.0
160,Mount Kato,20461 Hwy 66,Mankato,Minnesota,56001,540,240,300,0.0,0.0,0.0,5.0,0.0,3.0,2.0,55,1.0,115,50,December 17 2023,March 26 2024,2.0,13.0,15.0,18.0,5.0,0.0,339,399,339,258,28,34,28,39,36,46,https://www.onthesnow.com/Minnesota/mount-kato-ski-area/ski-resort.html,21,42,37,0,0,0,0,0,146.85714285714286,55.0,354.0,147.45714285714286,56.0,307.0,150.51428571428568,55.0,309.0,157.61111111111111,56.0,310.0,157.22857142857143,56.0,309.0,150.14285714285714,50.0,339.0,242.05714285714282,101.0,600.0,242.82857142857142,100.0,600.0,243.65714285714282,101.0,600.0,258.1142857142857,101.0,600.0,268.22857142857146,100.0,600.0,256.4166667,101.0,920.0,"20461 Hwy 66, Mankato, Minnesota",44.1635775,-93.9993996,10.0
161,Mt. Peter,Rte 17A & Old Mt Peter Rd,Warwick,New York,10990,1250,450,750,0.0,0.0,0.0,1.0,0.0,2.0,4.0,69,1.0,100,50,December 17 2023,March 26 2024,0.0,0.9,5.0,9.0,9.0,0.0,519,549,30,35,49,54,45,50,29,55,https://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html,39,33,28,0,0,0,0,0,260.4411764705883,127.0,700.0,249.2647058823529,125.0,940.0,255.64705882352942,130.0,700.0,266.22857142857146,130.0,700.0,257.54285714285714,129.0,700.0,243.61111111111111,118.0,595.0,346.64705882352933,145.0,700.0,347.2647058823529,130.0,940.0,335.0,145.0,700.0,336.62857142857143,145.0,700.0,353.8823529411765,140.0,700.0,294.9130435,118.0,1000.0,"Rte 17A & Old Mt Peter Rd, Warwick, New York",41.242609,-74.29925109999998,7.0
162,Mount Pleasant, 23301 Plank Rd , Venango,Pennsylvania,16403,1540,340,1200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,35,0.5,75,100,December 23 2023,March 12 2024,0.0,4.0,28.0,25.0,4.0,0.0,350,478,28,30,33,46,30,33,29,55,https://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html,22,56,22,0,0,0,0,0,128.97142857142856,50.0,350.0,124.57142857142857,50.0,250.0,132.05714285714285,51.0,250.0,127.17142857142859,51.0,250.0,130.97222222222223,51.0,260.0,122.37037037037035,51.0,250.0,168.85714285714286,72.0,350.0,164.11428571428573,55.0,350.0,164.74285714285713,55.0,350.0,176.88571428571427,55.0,350.0,184.94285714285718,55.0,350.0,189.66666669999998,76.0,400.0," 23301 Plank Rd ,  Venango, Pa 16440",41.7955256,-80.0973625,2.0
163,Mt. Snow,39 Mount Snow Road,West Dover,Vermont,05356,3600,1700,1900,0.0,3.0,1.0,1.0,6.0,4.0,4.0,480,3.0,135,156,November 11 2022,April 23 2023,7.0,31.0,28.0,39.0,29.0,5.0,439,859,490,258,33,46,49,39,29,55,https://www.onthesnow.com/vermont/mount-snow/ski-resort.html,16,67,16,1,1,0,0,0,237.08333333333331,111.0,534.0,234.17647058823533,105.0,460.0,229.6,111.0,470.0,233.29411764705884,103.0,434.0,200.4705882352941,111.0,330.0,109.1818181818182,58.0,258.0,291.8235294117647,112.0,542.0,302.26470588235287,140.0,681.0,282.4117647058824,111.0,644.0,310.8857142857143,112.0,745.0,301.45714285714286,111.0,674.0,137.125,64.0,258.0,"39 Mount Snow Road, West Dover, Vermont",42.9683842,-72.89520739999998,19.0
164,Mt. Southington,P.O. Box 347,Southington,Connecticut,06489,525,425,100,0.0,0.0,0.0,0.0,2.0,2.0,3.0,51,0.8,63,80,December 16 2023,March 17 2024,0.0,6.0,11.0,19.0,8.0,0.0,225,675,725,675,15,50,60,50,15,50,https://www.onthesnow.com/connecticut/mount-southington-ski-area/ski-resort.html,43,43,14,0,0,0,0,0,150.17142857142858,74.0,401.0,160.62857142857143,74.0,499.0,156.74285714285713,74.0,499.0,161.05714285714285,74.0,499.0,155.31428571428572,74.0,461.0,121.8181818181818,43.0,499.0,231.34285714285718,107.0,445.0,247.0606060606061,115.0,549.0,226.63636363636363,102.0,499.0,215.48484848484853,102.0,499.0,254.66666666666663,98.0,650.0,249.33333330000002,76.0,499.0,"P.O. Box 347, Southington, Connecticut",41.5964869,-72.8776013,7.0
165,Mt. Sunapee,P.O. Box 2021 Route 103,Newbury,New Hampshire,03255-1856,2743,1510,1233,0.0,2.0,0.0,1.0,2.0,1.0,3.0,215,0.8,130,100,November 23 2023,April 07 2024,1.0,23.0,21.0,30.0,18.0,3.0,439,859,490,258,33,46,49,39,29,55,https://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html,29,47,24,0,1,0,0,0,197.41666666666663,85.0,550.0,209.88571428571427,72.0,890.0,203.65714285714282,72.0,890.0,217.08823529411762,72.0,890.0,218.63888888888889,72.0,550.0,194.45,96.0,553.0,266.57142857142856,102.0,550.0,299.14285714285717,72.0,890.0,285.25714285714287,72.0,890.0,287.2,72.0,890.0,310.6,72.0,890.0,289.05555560000005,146.0,553.0,"P.O. Box 2021 Route 103, Newbury, New Hampshire",43.308018700000005,-72.01563270000001,9.0
166,Mountain Creek,200 Route 94,Vernon,New Jersey,07462,1480,1040,440,1.0,2.0,0.0,2.0,1.0,1.0,2.0,167,2.0,90,65,December 18 2023,March 25 2024,0.0,6.0,8.0,15.0,11.0,0.0,599,599,599,258,99,99,99,39,99,99,https://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html,23,57,20,0,0,0,0,0,189.5142857142857,81.0,648.0,188.28571428571428,80.0,652.0,171.05714285714285,81.0,633.0,187.05714285714282,81.0,672.0,194.24242424242425,80.0,681.0,118.14814814814815,58.0,275.0,233.37142857142857,113.0,629.0,244.82857142857142,109.0,626.0,244.42857142857144,116.0,638.0,231.52941176470588,113.0,639.0,244.8,129.0,649.0,215.16666669999998,97.0,625.0,"200 Route 94, Vernon, New Jersey",41.1907439,-74.5052204,9.0
167,Mountain High,P.O. Box 3010,Wrightwood,California,92397,8200,1600,6600,0.0,2.0,0.0,2.0,2.0,5.0,3.0,275,1.6,118,108,November 19 2022,May 01 2023,4.0,19.0,20.0,13.0,13.0,0.0,296,449,899,258,33,49,84,39,29,49,https://www.onthesnow.com/california/mountain-high/ski-resort.html,20,42,34,3,0,0,0,1,234.0909090909091,82.0,690.0,217.58823529411762,82.0,802.0,228.12121212121207,82.0,400.0,235.45714285714286,82.0,914.0,200.82352941176467,79.0,400.0,151.69565217391303,75.0,234.0,312.75757575757575,90.0,914.0,313.6875,90.0,802.0,297.5882352941176,90.0,914.0,286.8181818181818,104.0,914.0,265.42424242424244,103.0,802.0,201.70833330000002,132.0,420.0,"P.O. Box 3010, Wrightwood, California",34.3608341,-117.6333884,14.0
168,Mt. Abram Ski,Howe Hill Road,Greenwood,Maine,04255,2250,1150,1050,0.0,0.0,0.0,0.0,0.0,2.0,3.0,175,0.5,120,125,December 16 2023,March 24 2024,0.0,14.0,14.0,19.0,10.0,0.6,429,569,429,29,29,29,39,49,39,55,https://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html,19,41,26,15,0,0,0,0,319.0625,145.0,670.0,310.6666666666667,144.0,654.0,316.26470588235287,100.0,670.0,298.0,100.0,654.0,297.93939393939394,100.0,647.0,239.03571428571428,118.0,458.0,374.68571428571437,183.0,800.0,383.97058823529403,181.0,800.0,398.68571428571437,183.0,800.0,404.8823529411765,183.0,870.0,410.4117647058823,181.0,860.0,338.9166667,118.0,870.0,"Howe Hill Road, Greenwood, Maine",44.3829705,-70.71433990000001,5.0
169,Mt. Ashland,P.O. Box 220,Ashland,Oregon,97520-0008,7533,1150,6383,0.0,0.0,0.0,0.0,2.0,2.0,1.0,240,1.0,94,270,December 10 2022,April 23 2023,6.0,25.0,33.0,29.0,26.0,3.0,299,549,599,258,52,62,49,39,59,69,https://www.onthesnow.com/oregon/mount-ashland/ski-resort.html,7,44,37,12,0,0,0,1,153.11428571428573,75.0,345.0,150.05882352941177,73.0,248.0,158.57575757575756,75.0,341.0,178.77142857142857,99.0,603.0,183.38888888888889,99.0,577.0,134.95652173913044,75.0,200.0,279.58823529411757,148.0,510.0,280.4375,148.0,510.0,289.125,99.0,629.0,276.5625,99.0,657.0,304.030303030303,148.0,632.0,266.125,75.0,686.0,"P.O. Box 220, Ashland, Oregon",42.194575799999996,-122.7094767,5.0
170,Mt. Baker,1420 Iowa St.,Bellingham,Washington,98229,5000,1500,3500,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1000,0.7,143,663,November 16 2023,April 21 2024,46.0,131.0,104.0,103.0,92.0,34.0,264,350,954,569,37,54,87,73,37,54,https://www.onthesnow.com/washington/mt-baker/ski-resort.html,0,0,0,0,0,0,0,0,151.19444444444446,55.0,289.0,147.22857142857143,55.0,289.0,145.48571428571432,55.0,289.0,160.62857142857143,65.0,289.0,163.2,65.0,289.0,116.57142857142857,51.0,217.0,265.62857142857143,120.0,592.0,265.62857142857143,125.0,557.0,258.9428571428571,121.0,477.0,262.9428571428571,121.0,477.0,293.9142857142857,137.0,467.0,229.63636359999998,83.0,450.0,"1420 Iowa St., Bellingham, Washington",48.7556472,-122.4556487,10.0
171,Mt. Baldy,P.O. Box 459,Mt. Baldy,California,91759,8600,2100,6500,0.0,0.0,0.0,0.0,0.0,4.0,0.0,80,2.5,175,178,November 25 2022,May 29 2023,0.0,5.0,11.0,12.0,8.0,0.0,39,49,69,39,39,49,69,39,29,55,https://www.onthesnow.com/california/mt-baldy/ski-resort.html,20,40,20,20,0,0,0,0,170.14705882352942,76.0,483.0,184.03125,76.0,479.0,188.1034482758621,76.0,483.0,183.55172413793102,76.0,483.0,201.67857142857144,79.0,479.0,156.72727272727272,75.0,483.0,221.03125,120.0,483.0,241.33333333333331,103.0,479.0,232.06451612903226,107.0,483.0,252.16666666666663,120.0,483.0,243.7,117.0,479.0,190.77777780000002,95.0,483.0,"P.O. Box 459, Mt. Baldy, California",34.2363809,-117.65897520000001,4.0
172,Mt. Bachelor,P.O. Box 1000,Bend,Oregon,97702,9065,3365,5700,0.0,8.0,0.0,1.0,3.0,0.0,3.0,20,4.0,185,462,November 25 2022,May 28 2023,22.0,103.0,78.0,84.0,68.0,40.0,279,439,1249,799,62,88,109,88,62,88,https://www.onthesnow.com/oregon/mt-bhelor/ski-resort.html,19,55,22,3,0,0,1,0,157.08333333333334,80.0,308.0,156.31428571428572,86.0,324.0,160.22857142857143,87.0,339.0,158.83333333333334,87.0,340.0,179.33333333333337,88.0,342.0,120.5238095238095,69.0,353.0,241.62857142857143,105.0,425.0,236.52941176470588,107.0,395.0,223.84848484848484,106.0,383.0,231.21875,107.0,429.0,233.17647058823533,101.0,379.0,161.25,89.0,305.0,"P.O. Box 1000, Bend, Oregon",44.058172799999994,-121.31530959999999,15.0
174,Mt. Bohemia,L La Belle,Michigan,Michigan,53066,1500,900,600,0.0,0.0,0.0,0.0,1.0,1.0,0.0,620,2.3,83,273,December 27 2023,April 07 2024,0.0,9.0,35.0,38.0,17.0,6.0,109,68,68,68,68,68,68,68,68,55,https://www.onthesnow.com/Michigan/mount-bohea/ski-resort.html,0,2,8,90,0,0,0,0,225.02777777777774,80.0,617.0,221.28571428571428,80.0,659.0,206.34285714285718,80.0,652.0,212.6,80.0,600.0,213.6,80.0,470.0,167.0,55.0,290.0,299.0571428571429,105.0,621.0,240.17142857142858,99.0,650.0,235.34285714285718,99.0,600.0,271.48571428571427,80.0,750.0,277.77142857142854,99.0,750.0,226.78260869999997,88.0,751.0,"L La Belle, Michigan, Michigan",47.3754866,-88.01118000000001,2.0
175,Mt. Brighton,4141 Bauer Road,Brighton,Michigan,48116,1330,230,1100,0.0,0.0,0.0,2.0,3.0,0.0,7.0,130,0.1,111,60,December 09 2023,March 10 2024,0.6,7.0,12.0,14.0,6.0,0.0,439,859,60,94,65,60,94,65,29,75,https://www.onthesnow.com/Michigan/mount-brighton/ski-resort.html,19,46,27,8,1,0,0,0,179.85714285714286,90.0,360.0,173.94285714285718,89.0,365.0,180.57142857142856,90.0,279.0,173.22857142857143,90.0,294.0,189.85714285714286,89.0,372.0,144.7407407407407,40.0,273.0,224.0,93.0,400.0,219.22857142857143,91.0,372.0,248.68571428571425,93.0,500.0,215.0,93.0,444.0,231.0857142857143,91.0,500.0,231.04166669999998,74.0,453.0,"4141 Bauer Road, Brighton, Michigan",42.5408278,-83.81141720000001,12.0
176,Mt. Crescent,P.O. Box 69,Crescent,Iowa,51526,1500,300,1200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50,0.2,0,30,December 20 2023,March 10 2024,0.0,0.8,0.8,0.6,0.2,0.0,299,299,299,5,24,29,24,5,34,39,https://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html,18,45,27,9,0,0,0,0,197.11428571428573,87.0,375.0,211.0857142857143,87.0,559.0,188.85714285714286,87.0,350.0,201.42857142857144,88.0,350.0,194.82857142857142,88.0,350.0,216.28571428571428,69.0,450.0,242.65714285714282,89.0,413.0,245.14285714285717,88.0,559.0,237.4,89.0,500.0,221.42857142857144,89.0,350.0,222.62857142857143,88.0,395.0,224.625,121.0,350.0,"P.O. Box 69, Crescent, Iowa",41.364996000000005,-95.8580668,2.0
177,Mt. Holiday,3100 Holiday Road,Traverse City,Michigan,49684,440,200,240,0.0,0.0,0.0,0.0,0.0,2.0,2.0,45,0.1,100,120,December 28 2023,March 17 2024,0.0,2.0,7.0,5.0,0.2,0.0,296,269,269,258,33,20,22,39,29,28,https://www.onthesnow.com/Michigan/mount-holiday-ski-area/ski-resort.html,0,0,0,0,0,0,0,0,138.375,75.0,341.0,150.5151515151515,67.0,338.0,141.21875,67.0,250.0,153.90625,89.0,285.0,155.65625,61.0,289.0,142.8181818181818,90.0,251.0,186.02941176470588,100.0,375.0,207.0,79.0,480.0,189.44117647058826,110.0,375.0,202.15151515151518,79.0,375.0,204.45454545454547,79.0,436.0,249.4375,78.0,751.0,"3100 Holiday Road, Traverse City, Michigan",44.7435027,-85.514578,4.0
178,Mt. Hood Meadows,P.O. Box 470,Mt. Hood,Oregon,97041,7300,2777,4523,0.0,6.0,0.0,0.0,0.0,5.0,1.0,2150,3.0,150,430,November 29 2023,April 28 2024,17.0,87.0,65.0,82.0,58.0,38.0,259,379,499,389,33,46,49,39,29,55,https://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html,0,0,0,0,0,0,0,1,184.4857142857143,89.0,356.0,212.62857142857143,87.0,719.0,196.77142857142857,89.0,406.0,214.7647058823529,70.0,699.0,211.35294117647058,89.0,609.0,138.94736842105266,68.0,352.0,267.62857142857143,128.0,759.0,270.22857142857146,127.0,719.0,241.97142857142856,128.0,699.0,242.7142857142857,138.0,699.0,245.45714285714286,108.0,609.0,164.0,103.0,229.0,"P.O. Box 470, Mt. Hood, Oregon",45.373615,-121.69595100000001,12.0
179,Mt. Hood Skibowl,PO Box 280,Government Camp,Oregon,97028,5100,1500,3600,0.0,0.0,0.0,0.0,0.0,4.0,6.0,29,3.0,125,300,December 02 2023,April 28 2024,3.0,29.0,41.0,50.0,36.0,12.0,274,381,499,274,33,41,70,40,29,41,https://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html,0,0,0,0,0,0,0,0,209.77777777777774,110.0,375.0,216.57142857142856,110.0,379.0,232.85714285714286,127.0,499.0,274.3611111111111,125.0,1169.0,254.42857142857144,108.0,1015.0,166.71428571428572,68.0,556.0,262.54285714285714,119.0,499.0,294.14285714285717,127.0,519.0,305.54285714285714,146.0,513.0,307.34285714285716,138.0,601.0,272.37142857142857,108.0,814.0,197.75,68.0,556.0,"PO Box 280, Government Camp, Oregon",45.3040072,-121.75479979999999,10.0
180,Mt. Jefferson,P. O. Box 35,Lee,Maine,04455,753,432,351,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12,0.3,0,0,December 21 2023,March 08 2024,0.0,0.0,0.2,0.4,0.5,0.0,296,478,490,258,33,46,49,39,29,55,https://www.onthesnow.com/maine/mt-jefferson/ski-resort.html,0,0,0,0,0,0,0,0,200.9090909090909,85.0,359.0,198.7352941176471,83.0,359.0,206.24242424242425,98.0,500.0,178.48484848484853,86.0,350.0,187.15151515151518,86.0,350.0,150.55555555555554,68.0,308.0,342.1142857142857,148.0,575.0,314.5588235294117,10.0,575.0,358.3714285714285,129.0,575.0,291.51428571428573,129.0,575.0,315.0571428571429,143.0,575.0,236.3913043,117.0,390.0,"P. O. Box 35, Lee, Maine",45.36006150000001,-68.28640759999999,3.0
181,Mt. La Crosse,P.O. Box 9,La Crosse,Wisconsin,54602,1110,516,594,0.0,0.0,0.0,0.0,0.0,3.0,1.0,100,0.4,115,40,December 23 2023,March 13 2024,0.0,6.0,8.0,7.0,3.0,0.0,535,53,56,53,56,27,29,100,107,55,https://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html,0,0,0,0,0,0,0,0,162.32352941176467,73.0,410.0,156.2058823529412,73.0,301.0,159.37142857142857,73.0,410.0,155.82352941176467,73.0,249.0,162.02857142857144,73.0,295.0,127.12,55.0,246.0,217.3142857142857,91.0,424.0,233.37142857142857,90.0,469.0,224.34285714285718,92.0,489.0,209.4,93.0,374.0,229.4857142857143,99.0,454.0,183.78260869999997,75.0,440.0,"P.O. Box 9, La Crosse, Wisconsin",43.8137751,-91.2519017,4.0
182,Mt. Rose Ski Tahoe,22222 Mt. Rose Hwy.,Reno,Nevada,89511-8705,9700,1800,8260,0.0,0.0,2.0,2.0,2.0,0.0,2.0,330,2.5,152,350,November 10 2023,April 28 2024,21.0,73.0,59.0,52.0,59.0,12.0,375,795,135,135,33,46,49,39,29,55,https://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html,27,26,23,24,0,0,0,0,131.08333333333334,69.0,248.0,130.11428571428573,69.0,245.0,128.3235294117647,69.0,256.0,134.29411764705878,69.0,256.0,147.0,68.0,350.0,74.44444444444444,47.0,115.0,210.72727272727272,94.0,356.0,197.88571428571427,88.0,354.0,195.2,88.0,350.0,221.62857142857143,94.0,400.0,219.45714285714286,92.0,400.0,164.66666669999998,91.0,350.0,"22222 Mt. Rose Hwy., Reno, Nevada",39.3284344,-119.88538179999999,8.0
183,Mt. Shasta Board Ski Park,PO Box 1180,Mount Shasta,California,96067,6890,1435,5500,0.0,0.0,0.0,1.0,3.0,0.0,2.0,225,1.1,140,300,December 10 2022,April 10 2023,0.8,28.0,55.0,35.0,41.0,5.0,449,549,699,499,16,33,49,33,20,40,https://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html,0,0,0,0,0,0,0,1,175.24242424242425,93.0,542.0,167.06060606060606,92.0,543.0,174.82352941176467,93.0,543.0,181.71875,99.0,542.0,190.28125,99.0,543.0,142.77272727272728,60.0,375.0,272.41176470588243,117.0,600.0,248.79411764705884,119.0,600.0,251.82352941176467,114.0,600.0,273.5757575757576,120.0,600.0,300.7878787878788,120.0,607.0,253.2608696,120.0,520.0,"PO Box 1180, Mount Shasta, California",41.30987460000001,-122.3105666,6.0
184,Mt. Spokane,29500 North Mt. Spokane Park Dr.,Mead,Washington,99021,5889,2000,4200,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1704,0.6,100,300,December 03 2023,April 09 2024,5.0,40.0,44.0,31.0,18.0,3.0,629,799,629,258,38,45,38,39,49,59,https://www.onthesnow.com/washington/mt-spokane-ski-and-snowboard-park/ski-resort.html,0,0,0,0,0,0,0,0,160.82857142857142,68.0,390.0,149.4848484848485,73.0,288.0,155.42424242424244,68.0,390.0,145.71875,70.0,390.0,176.53125,75.0,525.0,150.92,65.0,882.0,203.25,68.0,392.0,213.94117647058826,73.0,525.0,211.3939393939394,95.0,525.0,220.72727272727272,77.0,525.0,236.0909090909091,81.0,525.0,197.70833330000002,75.0,882.0,"29500 North Mt. Spokane Park Dr., Mead, Washington",47.9213901,-117.0964754,8.0
185,Mulligan's Hollow,Box 969,Grand Haven,Michigan,49417,700,130,570,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10,0.2,0,60,December 26 2023,March 17 2024,0.0,1.0,3.0,3.0,0.1,0.0,240,240,240,240,15,20,49,39,29,55,https://www.onthesnow.com/Michigan/mulligans-hollow-ski-bowl/ski-resort.html,0,0,0,0,0,0,0,0,175.0,65.0,326.0,175.58823529411762,83.0,325.0,172.2352941176471,93.0,326.0,195.85294117647058,65.0,500.0,196.94117647058826,65.0,500.0,170.85714285714286,89.0,300.0,242.28571428571428,127.0,375.0,255.85294117647058,126.0,500.0,247.64705882352942,127.0,500.0,280.9705882352941,150.0,559.0,289.25714285714287,131.0,553.0,267.0,139.0,500.0,"Box 969, Grand Haven, Michigan",43.0630734,-86.22838639999998,5.0
186,Nashoba Valley,PO Box 309,Westford,Masshusetts,01886,440,240,200,0.0,0.0,0.0,0.0,3.0,1.0,6.0,52,0.5,112,55,December 18 2023,March 20 2024,0.0,7.0,13.0,18.0,6.0,0.0,296,478,490,258,33,46,49,39,29,55,https://www.onthesnow.com/masshusetts/nashoba-valley/ski-resort.html,24,47,29,0,0,0,0,0,161.30555555555554,56.0,326.0,173.77142857142857,59.0,390.0,172.97142857142856,59.0,390.0,190.69444444444446,85.0,390.0,201.38888888888889,69.0,450.0,166.7037037037037,50.0,375.0,245.82857142857142,138.0,729.0,235.57142857142856,128.0,450.0,236.34285714285718,128.0,450.0,253.4,115.0,729.0,263.6857142857143,137.0,727.0,234.0,115.0,625.0,"PO Box 309, Westford, Masshusetts",42.5792583,-71.4378411,10.0
187,New Hermon Mountain,RR1 Box 3347,Stockton Springs,Maine,4981,450,350,100,0.0,0.0,0.0,0.0,0.0,1.0,2.0,70,1.9,102,90,December 30 2023,March 26 2024,0.0,4.0,12.0,18.0,5.0,0.0,230,250,350,27,32,27,32,22,27,55,https://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html,0,0,0,0,0,0,0,0,211.03030303030303,77.0,450.0,212.40625,72.0,520.0,197.66666666666663,52.0,450.0,204.6060606060606,72.0,490.0,215.3939393939394,72.0,470.0,191.04166666666663,83.0,614.0,250.44117647058826,76.0,546.0,247.14705882352942,72.0,546.0,247.61764705882354,72.0,546.0,250.2121212121212,72.0,546.0,255.85294117647058,72.0,546.0,262.0869565,122.0,614.0,"RR1 Box 3347, Stockton Springs, Maine",44.4895196,-68.85697619999999,3.0
188,Nordic Mountain,W5806 Cty Rd W,Wild Rose,Wisconsin,54984,1137,265,872,0.0,0.0,0.0,0.0,1.0,1.0,5.0,60,1.0,95,60,November 25 2023,April 02 2024,1.0,13.0,12.0,11.0,4.0,0.0,479,499,499,479,33,26,39,26,29,55,https://www.onthesnow.com/wisconsin/nordic-mountain/ski-resort.html,31,31,38,0,0,0,0,1,204.79411764705884,76.0,456.0,203.34375,75.0,441.0,197.7878787878788,100.0,396.0,211.03125,76.0,500.0,207.71875,75.0,470.0,173.5,62.0,350.0,244.2352941176471,104.0,456.0,243.5625,101.0,500.0,246.25,107.0,500.0,249.21875,112.0,500.0,261.40625,103.0,500.0,216.20833330000002,116.0,350.0,"W5806 Cty Rd W, Wild Rose, Wisconsin",44.1214366,-89.181573,7.0
189,Nordic Valley,3567 Nordic Valley Way,Eden,Utah,84310,6400,960,5440,0.0,0.0,1.0,0.0,0.0,3.0,1.0,300,0.4,105,300,December 09 2023,April 07 2024,0.6,28.0,40.0,31.0,16.0,3.0,525,625,899,675,30,45,35,35,50,40,https://www.onthesnow.com/utah/wolf-creek/ski-resort.html,33,23,40,5,0,0,0,0,185.0857142857143,60.0,630.0,203.7647058823529,65.0,750.0,219.0,66.0,767.0,186.20588235294116,66.0,491.0,187.67647058823533,65.0,540.0,123.11111111111113,56.0,325.0,207.2647058823529,95.0,420.0,236.64705882352942,65.0,719.0,236.25714285714287,66.0,699.0,248.7352941176471,66.0,491.0,257.02941176470586,65.0,540.0,140.91666669999998,75.0,325.0,"3567 Nordic Valley Way, Eden, Utah",41.3074255,-111.8717635,5.0
190,Northstar California,PO Box 129,Truckee,California,96160,8610,2280,6330,2.0,7.0,1.0,1.0,2.0,0.0,7.0,1500,1.4,135,350,November 26 2023,April 28 2024,23.0,83.0,81.0,76.0,73.0,14.0,439,859,163,116,199,163,91,126,154,126,https://www.onthesnow.com/california/northstar-california/ski-resort.html,13,60,27,0,1,0,0,0,231.26666666666668,139.0,475.0,261.52941176470586,118.0,595.0,267.71875,130.0,590.0,278.5588235294117,125.0,539.0,236.38235294117646,125.0,435.0,131.23529411764707,79.0,226.0,274.57142857142856,148.0,481.0,311.14285714285717,165.0,625.0,307.54285714285714,165.0,590.0,314.4,165.0,555.0,296.65714285714284,145.0,545.0,210.52631580000002,83.0,400.0,"PO Box 129, Truckee, California",39.327962,-120.1832533,20.0
191,Norway Mountain,P.O. Box 95,Norway,Michigan,49870,1335,500,835,0.0,0.0,0.0,0.0,1.0,2.0,3.0,186,1.4,110,100,December 16 2023,April 21 2024,0.0,3.0,4.0,1.0,0.8,0.0,25,37,45,37,33,46,49,39,29,55,https://www.onthesnow.com/Michigan/norway-mountain/ski-resort.html,6,33,33,28,0,0,0,0,160.25714285714287,82.0,291.0,161.08571428571432,81.0,401.0,150.71428571428572,82.0,403.0,146.0,82.0,276.0,152.8,81.0,273.0,134.46428571428572,80.0,408.0,198.37142857142857,106.0,427.0,183.45714285714286,105.0,402.0,187.6,91.0,407.0,178.68571428571425,91.0,279.0,187.42857142857144,90.0,340.0,186.75,93.0,425.0,"P.O. Box 95, Norway, Michigan",45.7869023,-87.9037364,6.0
